Last login: Thu Feb 20 14:05:08 on console
maclab-85:~ delga017$ ps
  PID TTY           TIME CMD
 6860 ttys000    0:00.01 -bash
maclab-85:~ delga017$ ps x
  PID   TT  STAT      TIME COMMAND
 6279   ??  S      0:00.03 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreaut
 6280   ??  S      0:00.92 /usr/sbin/cfprefsd agent
 6315   ??  S      0:00.41 /usr/libexec/UserEventAgent (Aqua)
 6318   ??  S      0:00.31 /usr/sbin/distnoted agent
 6319   ??  S      0:00.13 /usr/sbin/universalaccessd launchd -s
 6327   ??  S      0:00.19 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
 6331   ??  S      0:12.92 /usr/libexec/lsd
 6333   ??  S      0:04.09 /usr/libexec/trustd --agent
 6340   ??  S      0:00.25 /usr/libexec/languageassetd --firstLogin
 6344   ??  S      0:06.11 /usr/libexec/secinitd
 6346   ??  S      0:00.14 /usr/libexec/secd
 6352   ??  S      0:00.22 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloud
 6355   ??  S      0:00.25 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservi
 6358   ??  S      0:00.28 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/account
 6359   ??  S      0:00.31 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Co
 6360   ??  S      0:00.17 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
 6361   ??  S      0:01.15 /usr/libexec/nsurlsessiond
 6362   ??  S      0:00.02 /System/Library/Frameworks/Security.framework/Versions/A/Resources/Cloud
 6363   ??  S      0:00.11 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/
 6368   ??  S      0:00.05 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/I
 6369   ??  S      0:00.06 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAcc
 6371   ??  S      0:00.08 /usr/libexec/rapportd
 6373   ??  S      0:00.28 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
 6374   ??  S      0:00.18 /usr/sbin/usernoted
 6375   ??  S      0:00.03 /usr/libexec/networkserviceproxy
 6376   ??  S      0:00.61 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/Ca
 6379   ??  S      0:00.07 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
 6380   ??  S      0:00.03 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Res
 6381   ??  S      0:00.71 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/Notif
 6382   ??  S      0:00.01 /System/Library/CoreServices/APFSUserAgent
 6384   ??  S      0:00.22 /System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariB
 6387   ??  S      0:00.03 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Sup
 6388   ??  S      0:00.92 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A
 6389   ??  S      0:00.01 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Supp
 6390   ??  S      0:00.18 /usr/libexec/adprivacyd
 6397   ??  S      0:00.16 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/Core
 6413   ??  S      0:00.06 /System/Library/PrivateFrameworks/ContactsAgent.framework/Executables/Co
 6421   ??  Ss     0:00.19 /System/Library/PrivateFrameworks/CalendarNotification.framework/Version
 6423   ??  S      0:00.13 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/
 6428   ??  S      0:00.68 /usr/libexec/nsurlstoraged
 6432   ??  S      0:00.05 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHist
 6463   ??  S      0:00.13 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6464   ??  S      0:00.11 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6465   ??  S      0:00.12 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6466   ??  S      0:00.10 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6468   ??  S      0:00.83 /System/Library/CoreServices/iconservicesagent
 6469   ??  S      0:00.10 /System/Library/CoreServices/pbs
 6470   ??  S      0:00.11 /usr/libexec/swcd
 6471   ??  S      0:00.06 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/S
 6474   ??  S      0:00.05 /usr/libexec/pboard
 6475   ??  S      0:00.13 /System/Library/CoreServices/sharedfilelistd
 6476   ??  S      0:00.09 /System/Library/CoreServices/talagent
 6477   ??  S      0:01.55 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.
 6478   ??  S      0:00.08 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCSer
 6482   ??  Ss     0:00.07 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMR
 6483   ??  S      0:00.18 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagen
 6484   ??  S      0:00.28 /usr/libexec/sharingd
 6485   ??  S      0:00.07 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useracti
 6486   ??  S      0:00.02 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediarem
 6487   ??  S      0:00.07 /usr/libexec/fmfd
 6488   ??  Ss     0:00.02 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMR
 6489   ??  Ss     0:00.06 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMR
 6491   ??  S      0:00.03 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Reso
 6494   ??  S      0:00.04 /System/Library/CoreServices/backgroundtaskmanagementagent
 6495   ??  S      0:00.10 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/a
 6512   ??  S      0:00.08 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLo
 6516   ??  S      0:02.43 /usr/libexec/pkd
 6518   ??  S      0:00.07 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resou
